127.0.0.1 - - [01/Dec/2022:08:43:59 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:44:02 +0700] "GET /test1/ktdn HTTP/1.1" 500 1463
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:44:03 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:01:36 +0700] "GET /test1/ktdn HTTP/1.1" 200 3563
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:01:36 +0700] "GET /test1/sachonl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:02:43 +0700] "POST /test1/ktdn HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:02:43 +0700] "GET /test1/css/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:02:43 +0700] "GET /test1/css/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:02:43 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:02:43 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:03:02 +0700] "POST /test1/ktdn HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:03:08 +0700] "GET /test1/lichsuhoadon HTTP/1.1" 200 3536
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:03:12 +0700] "GET /test1/Xemchitiet?ngay=Fri%20Nov%2018%2002:54:35%20ICT%202022 HTTP/1.1" 200 14713
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:03:22 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:03:23 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:03:23 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:03:23 +0700] "GET /test1/dathang HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:04:00 +0700] "GET /test1/dathang HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:04:04 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:04:05 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:04:05 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:05:48 +0700] "POST /test1/dathang HTTP/1.1" 200 13219
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:06:51 +0700] "GET /test1/timkiem?maloai=tin HTTP/1.1" 500 1416
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:08:33 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:08:33 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:08:33 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:26:10 +0700] "GET /test1/htsach HTTP/1.1" 500 3118
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:26:17 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:26:17 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:26:17 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:26:27 +0700] "POST /test1/dathang HTTP/1.1" 200 13219
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:26:38 +0700] "POST /test1/dathang HTTP/1.1" 200 14160
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:29:26 +0700] "GET /test1/htsach HTTP/1.1" 500 4104
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:29:52 +0700] "GET /test1/htsach HTTP/1.1" 500 1466
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:30:28 +0700] "GET /test1/htsach HTTP/1.1" 500 1466
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:30:35 +0700] "GET /test1/htsach HTTP/1.1" 500 1466
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:31:10 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:31:11 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:31:11 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:31:17 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:31:17 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:31:17 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:31:26 +0700] "POST /test1/dathang HTTP/1.1" 200 13219
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:32:42 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:32:42 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:32:42 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:32:55 +0700] "POST /test1/dathang HTTP/1.1" 200 13219
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:42:34 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:42:34 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:42:34 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:42:42 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:42:42 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:42:42 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:43:10 +0700] "POST /test1/dathang HTTP/1.1" 500 1507
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:47:09 +0700] "POST /test1/dathang HTTP/1.1" 500 1347
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:47:59 +0700] "POST /test1/dathang HTTP/1.1" 500 1347
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:48:21 +0700] "POST /test1/dathang HTTP/1.1" 500 1347
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:51:01 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:51:01 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:51:01 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:51:06 +0700] "POST /test1/dathang HTTP/1.1" 500 1347
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:51:35 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:51:35 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:51:35 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:51:39 +0700] "POST /test1/dathang HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:52:17 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:52:17 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:52:17 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:52:21 +0700] "POST /test1/dathang HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:53:56 +0700] "GET /test1/htsach HTTP/1.1" 503 692
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:54:03 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:54:03 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:54:03 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:54:09 +0700] "POST /test1/dathang HTTP/1.1" 200 13217
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:54:48 +0700] "GET /test1/htsach HTTP/1.1" 200 217420
0:0:0:0:0:0:0:1 - - [01/Dec/2022:09:54:48 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
