127.0.0.1 - - [13/Dec/2022:00:29:04 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:09 +0700] "GET /test1/loai_admin HTTP/1.1" 200 84901
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:09 +0700] "GET /test1/css/css/responsive.css HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:09 +0700] "GET /test1/css/css/base.css HTTP/1.1" 200 3678
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:09 +0700] "GET /test1/css/css/main.css HTTP/1.1" 200 24367
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:09 +0700] "GET /test1/css/css/grid.css HTTP/1.1" 200 7252
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:09 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:09 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:10 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:21 +0700] "GET /test1/ktdn HTTP/1.1" 200 3563
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:22 +0700] "GET /test1/sachonl.css HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:37 +0700] "POST /test1/ktdn HTTP/1.1" 200 78552
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:37 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:37 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:45 +0700] "GET /test1/htsach HTTP/1.1" 200 78552
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:45 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:45 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:49 +0700] "GET /test1/htsach?page=2 HTTP/1.1" 200 45016
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:49 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:49 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:51 +0700] "GET /test1/htsach?page=3 HTTP/1.1" 200 45016
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:51 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:51 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:54 +0700] "GET /test1/htsach?page=2 HTTP/1.1" 200 45016
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:55 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:55 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:55 +0700] "GET /test1/htsach?page=1 HTTP/1.1" 200 78552
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:55 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:55 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:56 +0700] "GET /test1/htsach?page=0 HTTP/1.1" 200 78553
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:56 +0700] "GET /test1/assets/img/google_play.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:56 +0700] "GET /test1/assets/img/appstore.png HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [13/Dec/2022:00:29:58 +0700] "GET /test1/htsach?page=1 HTTP/1.1" 200 78552
